Custodian,Week Cycle,Window number,Start Day of Window,Start Time of Window,End Day of Window,End Time of Window
Dad,1,1,Sunday,00:00,Monday,08:30
Mom,1,2,Monday,08:30,Thursday,08:30
Dad,1,3,Thursday,08:30,Friday,08:30
Mom,1,4,Friday,08:30,Saturday,24:00
Mom,2,1,Sunday,00:00,Thursday,08:30
Dad,2,2,Thursday,08:30,Saturday,24:00
Dad,3,1,Sunday,00:00,Monday,08:30
Mom,3,2,Monday,08:30,Thursday,08:30
Dad,3,3,Thursday,08:30,Saturday,22:00
Mom,3,4,Saturday,20:00,Saturday,24:00
Mom,4,1,Sunday,00:00,Thursday,08:30
Dad,4,3,Thursday,08:30,Saturday,24:00
